food_code,food_name,category,kcal_100g,protein_100g,carbs_100g,fat_100g,sugars_100g,fiber_100g
16595,"Spreadable fat > 41% fat and <= 62% fat, unsalted, with plant sterols",fats and oils,547.0,0.25,0.0,60.8,0.0,0.0
16593,"Spreadable fat > 62% fat, half-salted",fats and oils,630.0,0.25,0.5,70.0,0.5,0.0
16589,"Spreadable fat > 62% fat, unsalted, rich in omega 3",fats and oils,616.0,5e-05,5e-05,67.7,5e-05,3.6
16590,"Spreadable fat > 62% fat, unsalted, standard",fats and oils,650.0,0.022,0.089,72.1,0.089,0.13
16602,"Spreadable fat, fat % unknown, half-salted (average)",fats and oils,502.0,0.12,0.66,55.5,0.45,0.0
16601,"Spreadable fat, fat % unknown, unsalted (average)",fats and oils,557.0,0.31,0.43,61.7,0.26,0.042
16603,"Spreadable fat, fat % unknown, unsalted, rich in omega 3 (average)",fats and oils,501.0,0.078,0.13,55.6,0.11,0.091
20323,"Spring onion, sautéed/pan-fried, without added fat","fruits, vegetables, legumes and nuts",28.0,1.13,3.56,0.3,2.8,3.1
25419,Spring roll,starters and dishes,103.0,4.57,16.6,1.82,3.6,1.2
20267,"Spring vegetables, frozen, raw (green peas, potatoes, green beans, carrots, onions)","fruits, vegetables, legumes and nuts",51.3,2.4,8.48,0.078,2.62,3.62
18430,"Spring water, bottled",beverages,0.0,0.0,0.0,0.0,0.0,0.0
20139,"Squash, all types, raw","fruits, vegetables, legumes and nuts",14.4,0.95,1.6,0.13,1.6,1.5
20141,"Squash, butternut, flesh without skin, boiled","fruits, vegetables, legumes and nuts",28.2,0.69,4.56,0.2,4.51,2.4
20138,"Squash, butternut, flesh without skin, raw","fruits, vegetables, legumes and nuts",30.5,1.0,5.4,0.1,2.2,2.0
20136,"Squash, melonnette jaspée from Vendée, flesh without skin, raw","fruits, vegetables, legumes and nuts",30.8,0.75,5.98,0.13,0.0,1.35
20143,"Squash, spaghetti, flesh without skin, cooked","fruits, vegetables, legumes and nuts",28.0,0.66,5.06,0.26,2.53,1.4
20145,"Squash, spaghetti, flesh without skin, raw","fruits, vegetables, legumes and nuts",32.3,0.64,5.41,0.57,2.76,1.5
10002,"Squid fritter, Roman-style, prepacked","meat, egg and fish",229.0,8.69,26.7,9.5,2.5,1.0
10037,"Squid, boiled/cooked in water","meat, egg and fish",149.0,32.5,1.64,1.4,0.0,0.0
10084,"Squid, fried or pan-fried, with fat","meat, egg and fish",173.0,17.9,8.45,7.48,0.0,0.0
10001,"Squid, raw","meat, egg and fish",77.0,14.4,2.17,1.19,0.0,0.0
13403,"Star apple or milk truit, flesh without skin, raw, sampled in the island of La Martinique","fruits, vegetables, legumes and nuts",0.0,0.31,0.0,2.87,0.0,0.0
13408,"Star fruit juice, filtered, sampled in the island of La Martinique","fruits, vegetables, legumes and nuts",0.0,0.0,0.0,0.15,0.0,0.0
13409,"Star fruit juice, not filtered, sampled in the island of La Martinique","fruits, vegetables, legumes and nuts",0.0,0.063,0.0,0.03,0.0,0.0
31087,Stevia sweetener,sugar and confectionery,1.2,0.16,0.3,0.5,0.0,0.0
13187,"Stewed fruits, apple, no added sugars, (pulp or mixed fruits), room temperature","fruits, vegetables, legumes and nuts",56.4,1.13,11.6,0.28,11.6,1.7
13209,"Stewed fruits, no added sugars (pulp or mixed fruits, but always with other ingredient), prepacked, refrigerated","fruits, vegetables, legumes and nuts",55.6,0.38,12.2,0.3,11.2,1.8
13174,"Stewed fruits, no added sugars (pulp or mixed fruits, but always with other ingredient), prepacked, room temperature","fruits, vegetables, legumes and nuts",58.3,0.32,12.7,0.37,11.5,1.91
13214,"Stewed fruits, no added sugars (pulp or mixed fruits,), prepacked (average)","fruits, vegetables, legumes and nuts",56.4,0.25,13.3,0.15,11.3,1.7
